hash;;author;;date;;message;;additions;;additions_kt;;additions_py;;deletions;;deletions_kt;;deletions_py
02faa4b419644577af0ae54ea944e6ecf4657c0e;;Igor Alshannikov;;Mon Oct 21 20:36:32 2024 -0400;;Add rel notes images.;;0;;0;;0;;0;;0;;0
17dddf2b607ea4d83b195d4e1a7d95ce071123d8;;Ivan Kupriyanov;;Mon Oct 21 23:35:00 2024 +0200;;Vega-Lite: fix implicit type of the source axis for the bin stat;;38;;38;;0;;1;;1;;0
0f4fa7b5d04e1e353cf29116cc8eb1189d6ba8e8;;Ivan Kupriyanov;;Mon Oct 21 23:15:43 2024 +0200;;Vega-Lite: more options for bin stat, better orientation auto-detection, tests;;280;;280;;0;;25;;25;;0
0d1d2530eb99d24978e2463ff14da4b971c2fb33;;Igor Alshannikov;;Mon Oct 21 15:39:56 2024 -0400;;Interactive links demo with fixed tooltips and text label.;;14;;0;;0;;37;;0;;0
263cd9ec69acf898d8e2c01cc5070b7ea3acfb76;;Ivan Kupriyanov;;Mon Oct 21 21:13:37 2024 +0200;;Minor code cleanup;;1;;1;;0;;5;;5;;0
d31496e5e464a6227a5e872941167d47a9924396;;Ivan Kupriyanov;;Mon Oct 21 20:57:11 2024 +0200;;Fix ClassCastException: class java.lang.String cannot be cast to class org.jetbrains.letsPlot.datamodel.svg.dom.SvgTransform in JFX caused by SlimObject providing a transform as a String instead of a SvgTransform;;5;;5;;0;;1;;1;;0
cf87cc71cf6794eb0cd05c88ecbeedc4e6b805d1;;Ivan Kupriyanov;;Mon Oct 21 20:38:49 2024 +0200;;Cleanup pointer-events usage, add polar demo with hyperlinks;;154;;154;;0;;52;;52;;0
b0b781fc5dbad4d73067fd2f7768fed206e451c6;;Ivan Kupriyanov;;Mon Oct 21 20:22:19 2024 +0200;;Fix links in polar coordinate system;;5;;5;;0;;4;;4;;0
34036864fbc8ae1471757a2a545ebfa00649e464;;Ivan Kupriyanov;;Mon Oct 21 20:17:18 2024 +0200;;Update future_changes.md;;1;;0;;0;;0;;0;;0
5d06cb07908f294ebb15416beb9e9590eff83c76;;Ivan Kupriyanov;;Mon Oct 21 17:33:17 2024 +0200;;Fix #1214 - coord_polar: geom_point tooltips should take in account point size;;97;;97;;0;;15;;15;;0
342ae5e65ccf6c4a0c6e6ea2d7caf5c72f55fb72;;Ivan Kupriyanov;;Mon Oct 21 16:04:41 2024 +0200;;Fixed the link style in a tooltip;;41;;41;;0;;13;;13;;0
82d4a5b466a0616c52aa75abbcf879ef088aac9f;;Ivan Kupriyanov;;Mon Oct 21 13:36:51 2024 +0200;;Vega-Lite: better stat and pos handling (#1217);;705;;705;;0;;182;;182;;0
877d501755b8d524d443b7c827260c4642cf1da9;;Igor Alshannikov;;Sun Oct 20 21:12:49 2024 -0400;;fix url;;1;;0;;0;;1;;0;;0
97ed1b50cf6001bbd1dc019ca033b40536db0b62;;Igor Alshannikov;;Sun Oct 20 21:10:20 2024 -0400;;Update interactive links demo.;;303;;0;;0;;44;;0;;0
990cf17cc7f633b2b89a67055e70def9ff8c421a;;Valentin Dovidaytis;;Fri Oct 18 13:52:00 2024 +0200;;Updated version v4.5.1.dev1;;2;;0;;1;;2;;0;;1
c244299d36ee5b6544097706fe8e954e64abd9ae;;Valentin Dovidaytis;;Fri Oct 18 13:49:34 2024 +0200;;Updated version v4.5.0rc2;;3;;0;;1;;3;;0;;1
e9a65936a54ddf9a5da373bb1732c3a101487501;;Igor Alshannikov;;Thu Oct 17 19:53:42 2024 -0400;;Fix buttons alignment in Pan/zoom demo;;4;;0;;0;;4;;0;;0
6eea0d6871ffce9c8d6b83e5046f1d6423fd4b24;;Igor Alshannikov;;Thu Oct 17 19:41:09 2024 -0400;;Decrease toolbuttons size.;;8;;8;;0;;8;;8;;0
787b05ee1048146b188e6feb3d9a874c11b293f4;;Igor Alshannikov;;Thu Oct 17 19:06:52 2024 -0400;;Update description in pan-zoom demo.;;5;;0;;0;;0;;0;;0
49391e8f627934fef95548a45b659701282dd188;;Mikhail Koroteev;;Fri Oct 18 00:08:18 2024 +0300;;Fix toolbar icon appearance in a demo;;4;;4;;0;;4;;4;;0
6c7597bdf145db327b53231d8f948ed669f45bb9;;Igor Alshannikov;;Thu Oct 17 15:22:45 2024 -0400;;Update pan-zoom demo.;;58;;0;;0;;6;;0;;0
01fc65554248792fb7c52f79d3f4752b7e6b871e;;Igor Alshannikov;;Thu Oct 17 13:58:52 2024 -0400;;Add png;;0;;0;;0;;0;;0;;0
0c5f5130985be3460880903e8237093de7c10bb9;;Mikhail Koroteev;;Thu Oct 17 20:45:30 2024 +0300;;Fix toolbar icons; update styles;;12;;12;;0;;11;;11;;0
3452e62443107a0c0977a39fe42fc478fb710d52;;Valentin Dovidaytis;;Thu Oct 17 15:24:53 2024 +0200;;Updated version v4.5.1.dev1;;2;;0;;1;;2;;0;;1
2142b64bfeed4b0d7946d477b04cf90fa23c28b1;;Valentin Dovidaytis;;Thu Oct 17 15:21:10 2024 +0200;;Updated version v4.5.0rc1;;3;;0;;1;;3;;0;;1
0f490bb1b2770d79107acb579d44ca81dfba4b4a;;Olga Larionova;;Thu Oct 17 14:16:23 2024 +0300;;Update docstrings.;;8;;0;;8;;6;;0;;6
12cc44f1f5e7c5e85cf08cc2e6007732a8b30833;;Olga Larionova;;Thu Oct 17 13:36:37 2024 +0300;;Update docstring: `linetype` description.;;9;;0;;7;;3;;0;;3
62dd2dd41b33e056738330305f55d589ed82e272;;Olga Larionova;;Thu Oct 17 12:45:37 2024 +0300;;Update docstring: `linetype` description.;;44;;0;;44;;42;;0;;42
121d0b0410a7f3b594587cd4ad513765a1d8a426;;Mikhail Koroteev;;Thu Oct 17 12:54:02 2024 +0300;;Fix typos on future_changes.md;;6;;0;;0;;6;;0;;0
a921df34d2eaad996cd2ba5d1d750a7432693bd8;;Mikhail Koroteev;;Thu Oct 17 12:40:12 2024 +0300;;Update toolbar icons;;18;;18;;0;;14;;14;;0
1589c77c84ba3ff76644ca0090138c7a30822bf0;;Igor Alshannikov;;Wed Oct 16 16:51:49 2024 -0400;;Update future_changes.md;;1;;0;;0;;1;;0;;0
be7989dca6d737f5c4ba086cb163fc6f688b33fe;;Igor Alshannikov;;Wed Oct 16 16:46:27 2024 -0400;;Update future_changes.md;;41;;0;;0;;33;;0;;0
f5cfa365d77b7b6715308ec11ed23f07cd4e1cd3;;Igor Alshannikov;;Wed Oct 16 16:01:37 2024 -0400;;Add pan,zoom demo.;;416;;0;;0;;1;;0;;0
45099e2ab1e4ba5e2e552bf96422ec06007c7553;;Valentin Dovidaytis;;Wed Oct 16 19:19:47 2024 +0200;;Add Python 3.13 support;;9;;0;;1;;6;;0;;0
26906f9796f65ad482f23ef9718f8480c55058ca;;Olga Larionova;;Wed Oct 16 18:43:44 2024 +0300;;Update image with theme legend scheme and notebooks.;;302;;0;;0;;84;;0;;0
d1802785efb39b4319e4172507932cc97c213d8e;;Igor Alshannikov;;Wed Oct 16 12:15:44 2024 -0400;;Docstring in ggtb();;43;;0;;43;;1;;0;;1
5382e400fdf53f690099ab56975f2d773bcc8694;;Olga Larionova;;Wed Oct 16 13:58:58 2024 +0300;;Update notebooks and future_changes.md.;;94;;0;;0;;64;;0;;0
5c584e7687113f372b48dd7be64d93cb5fc1ed46;;Ivan Kupriyanov;;Wed Oct 16 12:42:20 2024 +0200;;Rename vegalite.Option to VegaOption;;34;;33;;0;;35;;34;;0
230f75ed0ba0024535c6b6fbd6bb526c7b79f866;;Ivan Kupriyanov;;Wed Oct 16 12:35:56 2024 +0200;;Support parsing not only objects, but any other JSON types in JsonSupport via new parse() method, make JsonParser class internal;;8;;8;;0;;5;;5;;0
f5af69befdd2fa963672d3b1d9992f3635f64840;;Igor Alshannikov;;Tue Oct 15 17:46:42 2024 -0400;;interact: code cleanup.;;2;;2;;0;;20;;20;;0
a0e38f405bfb380e348ae95970840deae5e4ac93;;Ivan Kupriyanov;;Tue Oct 15 23:23:35 2024 +0200;;Minor rename;;8;;8;;0;;8;;8;;0
d89de79d20da4aca9ca57277b90c241c2714e6a3;;Ivan Kupriyanov;;Tue Oct 15 23:22:14 2024 +0200;;Vega-Lite: fetch data from the web when the spec is run in PlotSpecDebugger;;38;;38;;0;;4;;4;;0
901916c1fd9d44ed32426a379a2168c7c6529e03;;Ivan Kupriyanov;;Tue Oct 15 22:36:38 2024 +0200;;Vega-Lite: lims for coord system;;174;;174;;0;;7;;7;;0
